KW,Bulk 2.0,Bulk 2.05,Bulk 2.1
0.16,0.24,0.16,0.16
0.15,0.24,0.16,0.16
0.14,0.24,0.16,0.16
0.12,0.24,0.16,0.16
0.11,0.24,0.16,0.16
0.09,0.24,0.16,0.16
0.08,0.24,0.16,0.16
0.07,0.24,0.16,0.16
0.06,0.24,0.16,0.16
0.06,0.24,0.16,0.16
0.06,0.24,0.16,0.16
0.07,0.24,0.16,0.16
0.07,0.24,0.16,0.16
0.07,0.24,0.16,0.16
0.07,0.24,0.16,0.16
0.07,0.21,0.13,0.14
0.07,0.21,0.13,0.14
0.07,0.21,0.13,0.14
0.06,0.21,0.13,0.14
0.06,0.21,0.13,0.14
0.07,0.21,0.13,0.14
0.09,0.21,0.13,0.14
0.11,0.21,0.13,0.14
0.11,0.21,0.13,0.14
0.08,0.21,0.13,0.14
0.06,0.21,0.13,0.14
0.06,0.21,0.13,0.14
0.07,0.21,0.13,0.14
0.08,0.21,0.13,0.14
0.07,0.21,0.13,0.14
0.07,0.21,0.13,0.14
0.08,0.21,0.13,0.14
0.09,0.21,0.13,0.14
0.09,0.21,0.13,0.14
0.09,0.21,0.13,0.14
0.09,0.21,0.13,0.14
0.09,0.21,0.13,0.14
0.08,0.21,0.13,0.14
0.06,0.21,0.13,0.14
0.06,0.21,0.13,0.14
0.06,0.21,0.13,0.14
0.07,0.21,0.13,0.14
0.08,0.21,0.12,0.14
0.09,0.21,0.12,0.14
0.11,0.21,0.12,0.14
0.12,0.21,0.12,0.14
0.13,0.21,0.12,0.14
0.15,0.21,0.12,0.14
0.17,0.21,0.12,0.14
0.22,0.21,0.12,0.14
0.25,0.21,0.12,0.14
0.25,0.21,0.12,0.14
0.24,0.21,0.12,0.14
0.25,0.21,0.12,0.14
0.27,0.21,0.12,0.14
0.27,0.21,0.12,0.14
0.25,0.21,0.12,0.14
0.22,0.21,0.12,0.14
0.19,0.21,0.12,0.14
0.17,0.21,0.12,0.14
0.16,0.21,0.12,0.14
0.16,0.21,0.12,0.14
0.19,0.17,0.11,0.12
0.20,0.17,0.11,0.12
0.18,0.17,0.11,0.12
0.16,0.17,0.11,0.12
0.15,0.18,0.12,0.12
0.12,0.18,0.12,0.12
0.08,0.18,0.12,0.12
0.06,0.18,0.12,0.12
0.06,0.18,0.12,0.12
0.07,0.18,0.12,0.12
0.06,0.18,0.12,0.12
0.06,0.18,0.12,0.12
0.06,0.18,0.12,0.12
0.07,0.18,0.12,0.12
0.07,0.18,0.12,0.12
0.07,0.18,0.12,0.12
0.06,0.18,0.12,0.12
0.07,0.18,0.12,0.12
0.07,0.18,0.12,0.12
0.06,0.18,0.12,0.12
0.06,0.18,0.12,0.12
0.06,0.17,0.09,0.1
0.06,0.17,0.09,0.1
0.06,0.17,0.09,0.1
0.05,0.17,0.09,0.1
0.05,0.17,0.09,0.1
0.06,0.17,0.09,0.1
0.06,0.17,0.09,0.1
0.06,0.17,0.09,0.1
0.06,0.17,0.09,0.1
0.06,0.17,0.09,0.1
0.06,0.17,0.09,0.1
0.06,0.17,0.09,0.1
0.06,0.17,0.09,0.1
0.06,0.17,0.09,0.1
0.06,0.17,0.09,0.1
0.06,0.17,0.09,0.1
0.06,0.17,0.09,0.1
0.06,0.17,0.09,0.1
0.06,0.17,0.09,0.1
0.07,0.14,0.08,0.08
0.09,0.14,0.08,0.08
0.13,0.14,0.08,0.08
0.17,0.14,0.08,0.08
0.19,0.14,0.08,0.08
0.22,0.14,0.08,0.08
0.25,0.14,0.08,0.08
0.27,0.14,0.08,0.08
0.27,0.14,0.08,0.08
0.25,0.14,0.08,0.08
0.22,0.14,0.08,0.08
0.20,0.14,0.08,0.08
0.21,0.14,0.08,0.08
0.22,0.14,0.08,0.08
0.23,0.22,0.18,0.11
0.25,0.25,0.25,0.15
0.26,0.25,0.25,0.15
0.27,0.25,0.25,0.15
0.26,0.25,0.25,0.15
0.26,0.29,0.2,0.24
0.27,0.29,0.2,0.24
0.27,0.29,0.2,0.24
0.27,0.29,0.2,0.24
0.26,0.29,0.2,0.24
0.25,0.29,0.2,0.24
0.24,0.29,0.2,0.24
0.26,0.32,0.25,0.24
0.27,0.32,0.25,0.24
0.28,0.32,0.25,0.24
0.29,0.32,0.25,0.24
0.29,0.32,0.25,0.24
0.29,0.32,0.25,0.24
0.29,0.32,0.25,0.24
0.29,0.32,0.25,0.24
0.29,0.32,0.25,0.24
0.29,0.32,0.25,0.24
0.30,0.32,0.25,0.24
0.30,0.32,0.25,0.24
0.30,0.32,0.25,0.24
0.29,0.23,0.16,0.18
0.30,0.23,0.16,0.18
0.30,0.23,0.16,0.18
0.31,0.23,0.16,0.18
0.31,0.23,0.16,0.18
0.32,0.23,0.16,0.18
0.31,0.23,0.16,0.18
0.31,0.23,0.16,0.18
0.30,0.23,0.16,0.18
0.29,0.23,0.16,0.18
0.27,0.23,0.16,0.18
0.25,0.23,0.16,0.18
0.20,0.23,0.16,0.18
0.17,0.23,0.16,0.18
0.15,0.23,0.16,0.18
0.13,0.23,0.16,0.18
0.13,0.25,0.18,0.19
0.12,0.25,0.18,0.19
0.12,0.25,0.18,0.19
0.12,0.25,0.18,0.19
0.12,0.25,0.18,0.19
0.12,0.25,0.18,0.19
0.12,0.25,0.18,0.19
0.12,0.25,0.18,0.19
0.12,0.25,0.18,0.19
0.11,0.25,0.18,0.19
0.11,0.25,0.18,0.19
0.11,0.25,0.18,0.19
0.11,0.25,0.18,0.19
0.11,0.25,0.18,0.19
0.11,0.25,0.18,0.19
0.12,0.25,0.18,0.19
0.12,0.20,0.12,0.13
0.13,0.20,0.12,0.13
0.14,0.20,0.12,0.13
0.13,0.20,0.12,0.13
0.11,0.20,0.12,0.13
0.11,0.20,0.12,0.13
0.11,0.20,0.12,0.13
0.12,0.20,0.12,0.13
0.13,0.20,0.12,0.13
0.12,0.20,0.12,0.13
0.11,0.20,0.12,0.13
0.11,0.20,0.12,0.13
0.10,0.20,0.12,0.13
0.10,0.20,0.12,0.13
0.10,0.20,0.12,0.13
0.09,0.20,0.12,0.13
0.08,0.20,0.12,0.13
0.08,0.20,0.12,0.13
0.07,0.20,0.12,0.13
0.08,0.20,0.12,0.13
0.09,0.20,0.12,0.13
0.09,0.20,0.12,0.13
0.10,0.20,0.12,0.13
